,ENTREZID,SYMBOL,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,newPadj
11078,96459,FNIP1,278.249377389125,0.283394801940865,0.142217855883276,1.99268087808508,0.046296402566489,0.0775813700346905,1
11079,132720,FAM241A,85.6943355951386,0.462990955451717,0.232420324074155,1.99204160520832,0.0463664931488841,0.0776918114284579,1
11080,80224,NUBPL,121.07263746211,-0.405533666680524,0.203586374955911,-1.99194895418884,0.0463766589169839,0.0777018317811272,1
11081,2944,GSTM1,3.07442978264845,2.53643125717035,1.27351309304151,1.99168054967745,0.0464061191366279,0.0777441743211227,1
11082,1801,DPH1,166.189888393771,-0.362741194184031,0.182170345475448,-1.9912197742026,0.0464567308320715,0.0778219410906494,1
11083,25853,DCAF12,353.984316664151,-0.254593253537156,0.127872149321105,-1.99099846908678,0.0464810555553057,0.0778556632074974,1
11084,137886,UBXN2B,259.307979359901,0.296703190806992,0.149031598638324,1.990874375085,0.04649470002226,0.077871491448325,1
11085,128439,SNHG11,101.898423326165,0.423160328902426,0.212631782513293,1.99010855245015,0.0465789788923147,0.0780056079528128,1
11086,26147,PHF19,948.194247046807,0.178293944479101,0.0895941080801755,1.99001863291669,0.0465888829772792,0.0780151563765299,1
11087,257629,ANKS4B,3.57513638521068,2.20694842389262,1.11055536878448,1.98724753931734,0.0468949720477589,0.0785202381489437,1
11088,219855,SLC37A2,16.476561586793,1.00131349064385,0.503886035027969,1.9871824599947,0.0469021808570775,0.0785202381489437,1
11089,140825,NEURL2,6.8424542954933,1.54835083087614,0.779172521161703,1.98717330093679,0.0469031954769251,0.0785202381489437,1
11090,286749,STON1-GTF2A1L,3.98908905071121,2.14881797828554,1.08152472604623,1.98684128669075,0.0469399877387227,0.0785747459316184,1
11091,65124,SOWAHC,307.387730743101,0.258635450293296,0.13018084624295,1.98673966069184,0.0469512543078065,0.0785865192471481,1
11092,143279,HECTD2,103.165540223272,0.424646453352611,0.213807909688775,1.9861119916973,0.0470208900423535,0.0786959793316129,1
11093,10617,STAMBP,376.937109809866,-0.276232256608054,0.139096172428748,-1.98590839549919,0.0470434963511838,0.0787267165116178,1
11094,79025,FNDC11,7.74930110083757,1.58078856687631,0.79612699721688,1.9855984942132,0.0470779237974121,0.0787772288962645,1
11095,132158,GLYCTK,51.1531953426141,-0.601230569685129,0.302824885198709,-1.98540674519075,0.0470992361250498,0.0788057881410928,1
11096,2526,FUT4,30.7102425603555,-0.800868647204345,0.403458639877314,-1.98500804803158,0.0471435760979127,0.0788728683022397,1
11097,8843,HCAR3,5.79699124367711,1.69781657431712,0.855786524910634,1.98392534223931,0.0472641633179641,0.0790674892164265,1
11098,6821,SUOX,205.701538806231,-0.323711574365935,0.163199457617727,-1.98353339582896,0.0473078805645743,0.0791334920526903,1
11099,1602,DACH1,21.7600984237907,-0.946675416227457,0.477418106782847,-1.98290639332213,0.047377886404007,0.079243160047013,1
11100,90113,VWA5B2,16.7289819179008,0.993641118375235,0.501112650798471,1.98286975352143,0.0473819799893258,0.079243160047013,1
11101,1018,CDK3,193.533399337642,-0.331107109913522,0.167020828733282,-1.98243005033984,0.0474311290761051,0.0793182127888312,1
11102,196410,METTL7B,7.64732172779161,1.49544372005467,0.7543732487109,1.98236578856705,0.047438315709541,0.0793230852848062,1
11103,134492,NUDCD2,258.873178293294,0.278882546655436,0.140690389548292,1.98224304837616,0.0474520447467974,0.0793388956750019,1
11104,1147,CHUK,325.45066998351,-0.304254823625027,0.153504770124548,-1.98205452102996,0.0474731388771274,0.0793670164008459,1
11105,6517,SLC2A4,6.84307707462855,1.54921979488569,0.781969003504421,1.98117801081988,0.0475713142679515,0.0795239872192933,1
11106,100128071,FAM229A,42.96127077116,-0.703001239119278,0.354950048837577,-1.9805638608067,0.0476402050981482,0.0796319797804812,1
11107,55037,PTCD3,564.798619535844,-0.219216110805865,0.110693573565713,-1.98038697048412,0.0476600629027584,0.0796580001554702,1
11108,92255,LMBRD2,41.5036890321833,0.658612859745958,0.332621229336688,1.98006862357932,0.0476958182302728,0.079710584229995,1
11109,118432,RPL29P2,2.03100125465063,3.32893600514476,1.68166188890171,1.97955131594192,0.0477539680432408,0.0798005817584592,1
11110,5611,DNAJC3,362.735973301886,-0.244467554368915,0.123520993813267,-1.97915792952969,0.0477982279253464,0.0798673540239541,1
11111,284186,TMEM105,1.98877207741808,3.29329253214252,1.66404868816812,1.97908423927666,0.0478065226443958,0.0798740245135959,1
11112,4682,NUBP1,38.6870364160221,0.658203123572124,0.332622769732615,1.97882761935159,0.0478354177281901,0.0799151093148057,1
11113,283547,LINC00639,1.62827425951214,3.95321892436351,1.99781958529316,1.97876672821956,0.0478422761480166,0.0799193750033096,1
11114,10189,ALYREF,1234.91139909556,0.200548261640699,0.101360938089526,1.97855569828652,0.0478660517170085,0.07995189707347,1
11115,3985,LIMK2,394.559297078857,0.235870468405604,0.119223986652654,1.97838098714805,0.0478857429622364,0.079977591754472,1
11116,441518,RTL8B,152.173721485731,-0.358003721980976,0.180975184082691,-1.97819233501869,0.0479070131047348,0.080005918610678,1
11117,22801,ITGA11,1.58441241145673,3.92236310110122,1.98306322377757,1.97793144165592,0.0479364413810227,0.0800406635903314,1
11118,57172,CAMK1G,1.58441241145673,3.92236310110122,1.98306322377757,1.97793144165592,0.0479364413810227,0.0800406635903314,1
11119,10369,CACNG2,1.62491687428922,3.95323193835495,1.99883939643792,1.97776366895704,0.0479553738475723,0.0800578741102816,1
11120,6588,SLN,1.62491687428922,3.95323193835495,1.99883939643792,1.97776366895704,0.0479553738475723,0.0800578741102816,1
11121,768216,MIR454,2.39149907255657,2.94762369191678,1.49069970163181,1.9773423773347,0.0480029425947041,0.0801300805977958,1
11122,100874107,MTUS2-AS1,1.58215696149863,3.92236163215653,1.98376772475704,1.97722827284979,0.0480158331459756,0.080144391882925,1
11123,91937,TIMD4,9.28863322464916,1.31657747761414,0.665979681058942,1.97690337266854,0.0480525535301128,0.0801984719709624,1
11124,8735,MYH13,1.62482483071202,3.9509027494827,1.99873726334896,1.97669940013167,0.0480756186647285,0.0802297541254963,1
11125,23353,SUN1,558.817937297368,-0.216780548522062,0.109691668931033,-1.9762717682631,0.0481240053047273,0.0803032839979288,1
11126,8856,NR1I2,1.62256938075392,3.95091067300851,1.99942424663165,1.97602418779529,0.048152037786212,0.0803428392471004,1
11127,79152,FA2H,17.8256486103457,1.01350331457794,0.513032042862984,1.97551659526385,0.0482095532231787,0.0804315759894931,1
